sale_date,pos_source_key,menu_item_id,product_id,quantity_sold,recipe_quantity,recipe_unit,inventory_unit,quantity_change
2024-04-01,POS-20240401-DEMO_CROISSANT,DEMO_CROISSANT,CROISSANT,30,1.000000,each,each,-30.000000
2024-04-01,POS-20240401-DEMO_EGG_BREAKFAST,DEMO_EGG_BREAKFAST,EGGS,5,2.000000,each,each,-10.000000
2024-04-01,POS-20240401-DEMO_EGG_SANDWICH,DEMO_EGG_SANDWICH,EGGS,14,1.000000,each,each,-14.000000
2024-04-01,POS-20240401-DEMO_FLAT_WHITE,DEMO_FLAT_WHITE,MILK_FULL,77,0.180000,litre,bottle,-9.240000
2024-04-01,POS-20240401-DEMO_FLAT_WHITE,DEMO_FLAT_WHITE,COFFEE_REGULAR,77,0.018000,kilogram,bag,-1.386000
2024-04-01,POS-20240401-DEMO_HOT_CHOCOLATE,DEMO_HOT_CHOCOLATE,MILK_FULL,21,0.250000,litre,bottle,-3.500000
2024-04-01,POS-20240401-DEMO_ICED_LATTE,DEMO_ICED_LATTE,MILK_FULL,32,0.250000,litre,bottle,-5.333333
2024-04-01,POS-20240401-DEMO_ICED_LATTE,DEMO_ICED_LATTE,COFFEE_REGULAR,32,0.018000,kilogram,bag,-0.576000
2024-04-01,POS-20240401-DEMO_OAT_LATTE,DEMO_OAT_LATTE,MILK_OAT,39,0.250000,litre,carton,-9.750000
2024-04-01,POS-20240401-DEMO_OAT_LATTE,DEMO_OAT_LATTE,COFFEE_REGULAR,39,0.018000,kilogram,bag,-0.702000
2024-04-01,POS-20240401-DEMO_SMOOTHIE,DEMO_SMOOTHIE,MILK_OAT,15,0.200000,litre,carton,-3.000000
2024-04-02,POS-20240402-DEMO_CROISSANT,DEMO_CROISSANT,CROISSANT,32,1.000000,each,each,-32.000000
2024-04-02,POS-20240402-DEMO_EGG_BREAKFAST,DEMO_EGG_BREAKFAST,EGGS,6,2.000000,each,each,-12.000000
2024-04-02,POS-20240402-DEMO_EGG_SANDWICH,DEMO_EGG_SANDWICH,EGGS,14,1.000000,each,each,-14.000000
2024-04-02,POS-20240402-DEMO_FLAT_WHITE,DEMO_FLAT_WHITE,MILK_FULL,83,0.180000,litre,bottle,-9.960000
2024-04-02,POS-20240402-DEMO_FLAT_WHITE,DEMO_FLAT_WHITE,COFFEE_REGULAR,83,0.018000,kilogram,bag,-1.494000
2024-04-02,POS-20240402-DEMO_HOT_CHOCOLATE,DEMO_HOT_CHOCOLATE,MILK_FULL,23,0.250000,litre,bottle,-3.833333
2024-04-02,POS-20240402-DEMO_ICED_LATTE,DEMO_ICED_LATTE,MILK_FULL,34,0.250000,litre,bottle,-5.666667
2024-04-02,POS-20240402-DEMO_ICED_LATTE,DEMO_ICED_LATTE,COFFEE_REGULAR,34,0.018000,kilogram,bag,-0.612000
2024-04-02,POS-20240402-DEMO_OAT_LATTE,DEMO_OAT_LATTE,MILK_OAT,42,0.250000,litre,carton,-10.500000
2024-04-02,POS-20240402-DEMO_OAT_LATTE,DEMO_OAT_LATTE,COFFEE_REGULAR,42,0.018000,kilogram,bag,-0.756000
2024-04-02,POS-20240402-DEMO_SMOOTHIE,DEMO_SMOOTHIE,MILK_OAT,16,0.200000,litre,carton,-3.200000
2024-04-03,POS-20240403-DEMO_CROISSANT,DEMO_CROISSANT,CROISSANT,34,1.000000,each,each,-34.000000
2024-04-03,POS-20240403-DEMO_EGG_BREAKFAST,DEMO_EGG_BREAKFAST,EGGS,5,2.000000,each,each,-10.000000
2024-04-03,POS-20240403-DEMO_EGG_SANDWICH,DEMO_EGG_SANDWICH,EGGS,16,1.000000,each,each,-16.000000
2024-04-03,POS-20240403-DEMO_FLAT_WHITE,DEMO_FLAT_WHITE,MILK_FULL,88,0.180000,litre,bottle,-10.560000
2024-04-03,POS-20240403-DEMO_FLAT_WHITE,DEMO_FLAT_WHITE,COFFEE_REGULAR,88,0.018000,kilogram,bag,-1.584000
2024-04-03,POS-20240403-DEMO_HOT_CHOCOLATE,DEMO_HOT_CHOCOLATE,MILK_FULL,24,0.250000,litre,bottle,-4.000000
2024-04-03,POS-20240403-DEMO_ICED_LATTE,DEMO_ICED_LATTE,MILK_FULL,32,0.250000,litre,bottle,-5.333333
2024-04-03,POS-20240403-DEMO_ICED_LATTE,DEMO_ICED_LATTE,COFFEE_REGULAR,32,0.018000,kilogram,bag,-0.576000
2024-04-03,POS-20240403-DEMO_OAT_LATTE,DEMO_OAT_LATTE,MILK_OAT,44,0.250000,litre,carton,-11.000000
2024-04-03,POS-20240403-DEMO_OAT_LATTE,DEMO_OAT_LATTE,COFFEE_REGULAR,44,0.018000,kilogram,bag,-0.792000
2024-04-03,POS-20240403-DEMO_SMOOTHIE,DEMO_SMOOTHIE,MILK_OAT,17,0.200000,litre,carton,-3.400000
2024-04-04,POS-20240404-DEMO_CROISSANT,DEMO_CROISSANT,CROISSANT,30,1.000000,each,each,-30.000000
2024-04-04,POS-20240404-DEMO_EGG_BREAKFAST,DEMO_EGG_BREAKFAST,EGGS,5,2.000000,each,each,-10.000000
2024-04-04,POS-20240404-DEMO_EGG_SANDWICH,DEMO_EGG_SANDWICH,EGGS,14,1.000000,each,each,-14.000000
2024-04-04,POS-20240404-DEMO_FLAT_WHITE,DEMO_FLAT_WHITE,MILK_FULL,77,0.180000,litre,bottle,-9.240000
2024-04-04,POS-20240404-DEMO_FLAT_WHITE,DEMO_FLAT_WHITE,COFFEE_REGULAR,77,0.018000,kilogram,bag,-1.386000
2024-04-04,POS-20240404-DEMO_HOT_CHOCOLATE,DEMO_HOT_CHOCOLATE,MILK_FULL,21,0.250000,litre,bottle,-3.500000
2024-04-04,POS-20240404-DEMO_ICED_LATTE,DEMO_ICED_LATTE,MILK_FULL,28,0.250000,litre,bottle,-4.666667
2024-04-04,POS-20240404-DEMO_ICED_LATTE,DEMO_ICED_LATTE,COFFEE_REGULAR,28,0.018000,kilogram,bag,-0.504000
2024-04-04,POS-20240404-DEMO_OAT_LATTE,DEMO_OAT_LATTE,MILK_OAT,39,0.250000,litre,carton,-9.750000
2024-04-04,POS-20240404-DEMO_OAT_LATTE,DEMO_OAT_LATTE,COFFEE_REGULAR,39,0.018000,kilogram,bag,-0.702000
2024-04-04,POS-20240404-DEMO_SMOOTHIE,DEMO_SMOOTHIE,MILK_OAT,14,0.200000,litre,carton,-2.800000
2024-04-05,POS-20240405-DEMO_CROISSANT,DEMO_CROISSANT,CROISSANT,31,1.000000,each,each,-31.000000
2024-04-05,POS-20240405-DEMO_EGG_BREAKFAST,DEMO_EGG_BREAKFAST,EGGS,5,2.000000,each,each,-10.000000
