receipt_source_key,po_source_key,supplier_id,received_datetime,invoice_number,received_by,receipt_status
GR-PO-2024-04-01-2024-04-02-SUP_A,PO-2024-04-01-2024-04-02-SUP_A,SUP_A,2024-04-02T08:00:00+11:00,DEMO-GR-PO-2024-04-01-2024-04-02-SUP_A,Manager,POSTED
GR-PO-2024-04-01-2024-04-02-SUP_B,PO-2024-04-01-2024-04-02-SUP_B,SUP_B,2024-04-02T08:00:00+11:00,DEMO-GR-PO-2024-04-01-2024-04-02-SUP_B,Manager,POSTED
GR-PO-2024-04-02-2024-04-03-SUP_A,PO-2024-04-02-2024-04-03-SUP_A,SUP_A,2024-04-03T08:00:00+11:00,DEMO-GR-PO-2024-04-02-2024-04-03-SUP_A,Manager,POSTED
GR-PO-2024-04-02-2024-04-03-SUP_B,PO-2024-04-02-2024-04-03-SUP_B,SUP_B,2024-04-03T08:00:00+11:00,DEMO-GR-PO-2024-04-02-2024-04-03-SUP_B,Manager,POSTED
GR-PO-2024-04-02-2024-04-03-SUP_D,PO-2024-04-02-2024-04-03-SUP_D,SUP_D,2024-04-03T08:00:00+11:00,DEMO-GR-PO-2024-04-02-2024-04-03-SUP_D,Manager,POSTED
GR-PO-2024-04-03-2024-04-04-SUP_A,PO-2024-04-03-2024-04-04-SUP_A,SUP_A,2024-04-04T08:00:00+11:00,DEMO-GR-PO-2024-04-03-2024-04-04-SUP_A,Manager,POSTED
GR-PO-2024-04-03-2024-04-04-SUP_B,PO-2024-04-03-2024-04-04-SUP_B,SUP_B,2024-04-04T08:00:00+11:00,DEMO-GR-PO-2024-04-03-2024-04-04-SUP_B,Manager,POSTED
GR-PO-2024-04-04-2024-04-05-SUP_A,PO-2024-04-04-2024-04-05-SUP_A,SUP_A,2024-04-05T08:00:00+11:00,DEMO-GR-PO-2024-04-04-2024-04-05-SUP_A,Manager,POSTED
GR-PO-2024-04-04-2024-04-05-SUP_B,PO-2024-04-04-2024-04-05-SUP_B,SUP_B,2024-04-05T08:00:00+11:00,DEMO-GR-PO-2024-04-04-2024-04-05-SUP_B,Manager,POSTED
GR-PO-2024-04-05-2024-04-06-SUP_A,PO-2024-04-05-2024-04-06-SUP_A,SUP_A,2024-04-06T08:00:00+11:00,DEMO-GR-PO-2024-04-05-2024-04-06-SUP_A,Manager,POSTED
GR-PO-2024-04-05-2024-04-06-SUP_B,PO-2024-04-05-2024-04-06-SUP_B,SUP_B,2024-04-06T08:00:00+11:00,DEMO-GR-PO-2024-04-05-2024-04-06-SUP_B,Manager,POSTED
GR-PO-2024-04-05-2024-04-06-SUP_D,PO-2024-04-05-2024-04-06-SUP_D,SUP_D,2024-04-06T08:00:00+11:00,DEMO-GR-PO-2024-04-05-2024-04-06-SUP_D,Manager,POSTED
GR-PO-2024-04-06-2024-04-08-SUP_A,PO-2024-04-06-2024-04-08-SUP_A,SUP_A,2024-04-08T08:00:00+10:00,DEMO-GR-PO-2024-04-06-2024-04-08-SUP_A,Manager,POSTED
GR-PO-2024-04-06-2024-04-08-SUP_B,PO-2024-04-06-2024-04-08-SUP_B,SUP_B,2024-04-08T08:00:00+10:00,DEMO-GR-PO-2024-04-06-2024-04-08-SUP_B,Manager,POSTED
